Troy Niklas,16,0,0,0,0,0,59,1,0,0,0,11.90
Knile Davis,16,0,0,0,65,0,72,0,0,0,1,11.70
Mack Brown,16,0,0,0,0,0,56,1,0,0,0,11.60
Justice Cunningham,16,0,0,0,0,0,116,0,0,0,0,11.60
Dennis Pitta,16,0,0,0,0,0,112,0,0,0,0,11.20
Keith Mumphery,16,0,0,0,0,0,110,0,0,0,0,11.00
Lee Smith,16,0,0,0,0,0,110,0,0,0,0,11.00
Raheem Mostert,16,0,0,0,79,0,30,0,0,0,0,10.90
Brandon Myers,16,0,0,0,0,0,49,1,0,0,0,10.90
Stepfan Taylor,16,0,0,0,76,0,32,0,0,0,0,10.80
Drew Stanton,16,194,0,1,10,0,0,0,0,2,0,10.76
Jay Prosch,16,0,0,0,26,0,81,0,0,0,0,10.70
Zach Sudfeld,16,0,0,0,0,0,47,1,0,0,0,10.70
EJ Manuel,16,148,1,1,27,0,0,0,0,0,0,10.62
Cory Harkey,16,0,0,0,0,0,104,0,0,0,0,10.40
Luke Stocker,16,0,0,0,0,0,104,0,0,0,0,10.40
Blaine Gabbert,16,82,1,0,31,0,0,0,0,0,0,10.38
DuJuan Harris,16,0,0,0,45,0,71,0,0,0,1,9.60
Nikita Whitlock,16,0,0,0,9,0,84,0,0,0,0,9.30
Tommy Bohanon,16,0,0,0,9,0,82,0,0,0,0,9.10
Ben Koyack,16,0,0,0,0,0,90,0,0,0,0,9.00
Mike Glennon,16,149,1,1,10,0,0,0,0,0,0,8.96
Michael Burton,16,0,0,0,10,0,76,0,0,0,0,8.60
Chad Henne,16,90,1,0,10,0,0,0,0,0,0,8.60
Hakeem Nicks,16,0,0,0,0,0,86,0,0,0,0,8.60
